bedrooms,bathrooms,property_type,title,price,source
2,3,Villa,Furnished Villa for Sale in Al Maabela – Resort-Style Design,80000,tibiaan
8,11,Villa,Luxury furnished villa for sale with 8 bedrooms in Al Hail,415000,tibiaan
2,3,Apartment,Newly built Flat for Sale in Salalah,55000,tibiaan
2,3,Apartment,Flat for sale in Al Qurum,45000,tibiaan
5,5,Land,Land for slae in Al Qurum,525000,tibiaan
8,11,Villa,furnished villa for sale in Al Hail South,415000,tibiaan
1,5,Apartment,"Rented& furentured flat for sale, In Muscat Hill",57000,tibiaan
2,2,Apartment,"Rented flat for sale, opposite Mall of Oman",35000,tibiaan
7,7,Villa,Villa for sale in Al Hail North,185,tibiaan
4,6,Villa,Villa for Sale in Qurum Heights,230000,tibiaan
5,6,Villa,Villa for Sale in Al Mawaleh South,220000,tibiaan
4,6,Villa,3 modern villas for sale in Al Amarat,61000,tibiaan
4,5,Villa,Villa for Sale in Al Hail South,90000,tibiaan
5,7,Other,فيلا حديثة وواسعة للبيع في الخوض ٧,145000,tibiaan
4,5,Villa,Villa for Sale in Azaiba,330000,tibiaan
7,6,Villa,Villa for Sale in Muscat Hills,400000,tibiaan
5,5,Land,Residential and Commercial Land for Sale in Al Amarat,1500000,tibiaan
5,5,Land,Residential and commercial land in a prime location for sale in Al Rusayl,1500000,tibiaan
5,6,Villa,Spacious Twin Villa for Sale in Al Ansab,105000,tibiaan
20,20,Other,Residential and Commercial Building for Sale in Al Maabela North,570000,tibiaan
5,5,Land,Residential and Commercial Land for Sale in Al Amarat,110000,tibiaan
2,1,Apartment,Luxury Apartment for Sale in Al Mouj Muscat,160000,tibiaan
5,5,Land,Spacious Residential Land for Sale in Al Musannah / Al Muladdah,100000,tibiaan
5,5,Land,Residential Land for Sale in North Al Maabela,36500,tibiaan
3,3,Apartment,Apartment for sale in Al Mawaleh North,57000,tibiaan
8,9,Villa,Villa for Sale in Athaiba,230000,tibiaan
5,5,Land,Land for Sale in Mawaleh,90000,tibiaan
10,5,Apartment,A residential building comprising 10 apartments for sale in Ruwi,180000,tibiaan
5,5,Land,Commercial and Residential Land for sale in Mabeila,115000,tibiaan
1,2,Apartment,Apartment for sale in the Al Mazun Residential Complex,45000,tibiaan
5,5,Land,Land for sale in Al Amrat,11000,tibiaan
2,2,Apartment,Apartment for Sale in North  Al Mawaleh - Muzn Residence,65000,tibiaan
5,6,Villa,Twin Villa for Sale in AL Khuwair,135000,tibiaan
5,5,Villa,Villa for Sale in Al Qurum,390000,tibiaan
6,8,Villa,Twin villa for sale in Bowshar,155000,tibiaan
5,5,Villa,Villa for sale in North Ghubrah,265000,tibiaan
4,4,Villa,Villa for Sale in Al Qurum,120000,tibiaan
7,9,Villa,Spacious Villa for sale in North Ghubrah,230000,tibiaan
5,5,Land,Land in Ghala for Sale,460000,tibiaan
8,10,Villa,Twin villa for Sale in Al Ansab,83000,tibiaan
1,2,Apartment,Spacious apartment for sale in Al Qurum,43000,tibiaan
5,6,Villa,Villa for sale in North Ghubrah,220000,tibiaan
1,1,Other,Shop for sale in Al Ansab,33000,tibiaan
1,1,Other,Shop for sale in Al Ansab,36000,tibiaan
3,3,Apartment,Flat for sale in Al Ansab,43000,tibiaan
5,6,Villa,Spacious Twin Villa for sale in North Ghubrah,160000,tibiaan
6,8,Villa,Twin villa for sale in Mawaleh South,220000,tibiaan
8,8,Villa,Detached villa for sale in Al Ansab,215000,tibiaan
5,5,Land,Commercial and Residential Land for sale in Al Khoud,85000,tibiaan
1,2,Apartment,1 bedroom flat for Sale in Shatti Al Qurum,42500,tibiaan
5,5,Land,Residential land for sale in Barka,38000,tibiaan
3,4,Villa,Furnished Villa for Sale in Madinat Sultan Qaboos,210000,tibiaan
5,5,Land,Industrial Land for Sale in Mabelah,295000,tibiaan
8,10,Villa,Villa for Sale in Al Koudh 3,170000,tibiaan
5,5,Villa,Villa for sale in Bowsher Heights,110000,tibiaan
5,5,Land,Commercial/Residential Land for sale in Ghala,520000,tibiaan
8,9,Villa,Villa for sale in Bawsher,410000,tibiaan
9,10,Villa,Villa for Sale in Al Koudh 7,180000,tibiaan
8,8,Villa,Villa for sale in As Seeb,148000,tibiaan
12,13,Villa,Villa for Sale in Mabelah South,285000,tibiaan
1,2,Apartment,Spacious apartment for sale in Al Qurum,43000,tibiaan
5,6,Villa,Villa for sale in North Ghubrah,220000,tibiaan
1,1,Other,Shop for sale in Al Ansab,33000,tibiaan
1,1,Other,Shop for sale in Al Ansab,36000,tibiaan
3,3,Apartment,Flat for sale in Al Ansab,43000,tibiaan
5,6,Villa,Spacious Twin Villa for sale in North Ghubrah,160000,tibiaan
6,8,Villa,Twin villa for sale in Mawaleh South,220000,tibiaan
8,8,Villa,Detached villa for sale in Al Ansab,215000,tibiaan
5,5,Land,Commercial and Residential Land for sale in Al Khoud,85000,tibiaan
1,2,Apartment,1 bedroom flat for Sale in Shatti Al Qurum,42500,tibiaan
5,5,Land,Residential land for sale in Barka,38000,tibiaan
3,4,Villa,Furnished Villa for Sale in Madinat Sultan Qaboos,210000,tibiaan
5,5,Land,Industrial Land for Sale in Mabelah,295000,tibiaan
8,10,Villa,Villa for Sale in Al Koudh 3,170000,tibiaan
5,5,Villa,Villa for sale in Bowsher Heights,110000,tibiaan
5,5,Land,Commercial/Residential Land for sale in Ghala,520000,tibiaan
8,9,Villa,Villa for sale in Bawsher,410000,tibiaan
9,10,Villa,Villa for Sale in Al Koudh 7,180000,tibiaan
8,8,Villa,Villa for sale in As Seeb,148000,tibiaan
12,13,Villa,Villa for Sale in Mabelah South,285000,tibiaan
1,2,Apartment,Spacious apartment for sale in Al Qurum,43000,tibiaan
5,6,Villa,Villa for sale in North Ghubrah,220000,tibiaan
1,1,Other,Shop for sale in Al Ansab,33000,tibiaan
1,1,Other,Shop for sale in Al Ansab,36000,tibiaan
3,3,Apartment,Flat for sale in Al Ansab,43000,tibiaan
5,6,Villa,Spacious Twin Villa for sale in North Ghubrah,160000,tibiaan
6,8,Villa,Twin villa for sale in Mawaleh South,220000,tibiaan
8,8,Villa,Detached villa for sale in Al Ansab,215000,tibiaan
5,5,Land,Commercial and Residential Land for sale in Al Khoud,85000,tibiaan
1,2,Apartment,1 bedroom flat for Sale in Shatti Al Qurum,42500,tibiaan
5,5,Land,Residential land for sale in Barka,38000,tibiaan
3,4,Villa,Furnished Villa for Sale in Madinat Sultan Qaboos,210000,tibiaan
5,5,Land,Industrial Land for Sale in Mabelah,295000,tibiaan
8,10,Villa,Villa for Sale in Al Koudh 3,170000,tibiaan
5,5,Villa,Villa for sale in Bowsher Heights,110000,tibiaan
